,electrode,x,y
0,Fp1,-3.521136393830977,12.786456259816934
1,Fp2,2.872700591150539,13.310532263709906
2,F3,-5.006443913414868,6.990670421343291
3,F4,5.68664887305138,6.475266779413108
4,C3,-6.198499762719185,0.7343451724600767
5,C4,6.742305270369416,1.3283397776479988
6,P3,-5.090521141909305,-5.552589070029906
7,P4,5.911392976012112,-5.324343520959923
8,O1,-3.008102943542704,-10.058078070576682
9,O2,3.3506570639413353,-10.398749126898116
10,F7,-8.66898813617463,7.029702195923097
11,F8,8.628956334144352,8.249987626872153
12,T3,-9.845962326744718,0.8041066620723751
13,T4,10.194197407444676,1.1676137021645994
14,T5,-7.972601888317002,-6.513303662190811
15,T6,8.594408066874244,-5.484602776283269
16,Fz,0.9528110495369063,7.7678104708109785
17,Cz,0.9980197523703063,0.7761805652544732
18,Pz,1.0634460306848315,-5.950956903501298
19,SO1,-3.6745144908489724,13.530194289785182
20,SO2,3.16503384573309,13.773977071725405
21,F9,-9.364598767355492,7.7785731732122185
22,F10,9.926332288170155,8.570577528088993
23,Zy1,-14.943794437484868,3.007434539782538
24,Zy2,15.532286551783471,5.4655286914458605
25,T9,-11.543601320692037,1.5315641188824913
26,T10,11.561070378435943,2.7438987987965784
27,P9,-8.146026935826631,-8.535189111893343
28,P10,8.523709539676766,-8.094649938333399
29,AF7,-6.628835823682406,10.669880451313372
30,AF3,-3.9548164181528938,10.240008767977567
31,F11,-11.917768537663036,8.442756575902992
32,F5,-7.131022744467827,6.37986867941933
33,F1,-2.71447158257514,6.808121632578388
34,FT11,-13.04593640124528,5.949464876030026
35,FT9,-10.806716918519435,4.765698916754383
36,FT7,-9.49355427829414,3.7422936702749263
37,FC5,-8.320657758890666,2.840688652895279
38,FC3,-5.564533286430845,3.948702471752621
39,FC1,-2.64511521139324,3.8336939310669016
40,FCz,0.4599895226406053,4.106261185710245
41,C5,-8.404066054559268,0.6472799173532601
42,C1,-2.951949195819259,0.7111451267756058
43,TP11,-11.760612621504233,-6.095360052152609
44,TP9,-10.226109457679186,-6.053351937040074
45,TP7,-9.205262449533606,-3.756691090718519
46,CP5,-7.9407291938113875,-2.5593929281410173
47,CP3,-5.5008470951350255,-2.6555162462525983
48,CP1,-2.379317356575045,-2.4836056650970995
49,P11,-9.756149093957498,-9.580230262438628
50,P5,-6.87065233433568,-5.594736737736471
51,P1,-2.482445368180491,-5.968876781984638
52,PO7,-5.76545691319544,-9.092951009122654
53,PO3,-3.8284291402571844,-7.928551722610271
54,POz,0.47389986552275165,-8.379310932447503
55,Oz,0.22666529428304252,-10.451117074190941
56,Fpz,-0.2741400265300419,13.48833236417513
57,AFz,-0.19185520713282897,10.87844741717681
58,AF4,4.027617389538391,10.264487968420125
59,AF8,6.207961145625954,11.009446497644985
60,F2,3.36582337891911,7.182101757013587
61,F6,7.610029786944708,6.667065840422606
62,F12,12.136348064927487,8.995255845245495
63,FC2,3.4578477412460105,4.07634331320033
64,FC4,6.128802765801597,4.210291460464017
65,FC6,8.468604611082416,4.244930948639345
66,FT8,9.505631208381505,5.344978643263628
67,FT10,10.868506665069203,5.918266918646845
68,FT12,12.960009632059176,6.916443277669714
69,C6,8.927948225657234,1.527580136740533
70,C2,3.9256469878414273,0.7501632202635078
71,CPz,1.2176697170714303,-2.9675666845901527
72,CP2,4.027268420351959,-2.6441763581097204
73,CP4,6.875860214141948,-2.3234206830528183
74,CP6,8.843865888747166,-2.0406779942507867
75,TP8,9.660643586318336,-2.9205129815008237
76,TP10,11.593267641737267,-4.671255043676268
77,TP12,11.340730419709233,-7.441892269137269
78,P2,3.8438963566452133,-5.899804160957054
79,P6,7.615712622308563,-4.763608909689877
80,P12,8.111152441206269,-11.455559935399467
81,PO4,4.956468632610224,-8.211418166581884
82,PO8,7.148845900428113,-7.763638382512223
